"Term","padj","comparison","cell_type","gene_set","enrich_type","neg_log10_padj"
"cellular developmental process",0.0324265141640134,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.48909973528329
"multicellular organism development",0.033917940735489,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.46957052299439
"cell morphogenesis involved in neuron differentiation",0.034082276207627,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.46747140828911
"neuron projection morphogenesis",0.0368386218671814,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.43369662512756
"plasma membrane bounded cell projection morphogenesis",0.0375793011150875,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.42505130099663
"cell projection morphogenesis",0.0378558332179863,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.42186719042568
"blood vessel development",0.0390548834619826,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.4083246537716
"head development",0.0407035802830238,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.39036738859359
"nervous system process",0.0407035802830238,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.39036738859359
"vasculature development",0.0407035802830238,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.39036738859359
"regulation of developmental process",0.0421224225305747,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.37548665977035
"regulation of cell development",0.0458530544513954,"EXvsHFD","mySC","Overlap_MS","richR_GO",1.33863172897537
"positive regulation of cell differentiation",8.99914458340375e-05,"EXvsHFD","majorSC","Overlap_MS","richR_GO",4.04579877060107
"anatomical structure morphogenesis",0.000276002289063434,"EXvsHFD","majorSC","Overlap_MS","richR_GO",3.55908731603806
"positive regulation of developmental process",0.00048496962027525,"EXvsHFD","majorSC","Overlap_MS","richR_GO",3.31428546585146
"positive regulation of glial cell differentiation",0.00048496962027525,"EXvsHFD","majorSC","Overlap_MS","richR_GO",3.31428546585146
"regulation of cell differentiation",0.000798695551318123,"EXvsHFD","majorSC","Overlap_MS","richR_GO",3.09761873455259
"regulation of developmental process",0.000954461370992133,"EXvsHFD","majorSC","Overlap_MS","richR_GO",3.02024164370242
"neuron projection development",0.000975527493345445,"EXvsHFD","majorSC","Overlap_MS","richR_GO",3.01076048635151
"positive regulation of gliogenesis",0.000975527493345445,"EXvsHFD","majorSC","Overlap_MS","richR_GO",3.01076048635151
"positive regulation of neurogenesis",0.000975527493345445,"EXvsHFD","majorSC","Overlap_MS","richR_GO",3.01076048635151
"regulation of glial cell differentiation",0.000975527493345445,"EXvsHFD","majorSC","Overlap_MS","richR_GO",3.01076048635151
"neuron projection morphogenesis",0.00104543489467276,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.98070300805412
"plasma membrane bounded cell projection morphogenesis",0.00104543489467276,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.98070300805412
"cell projection morphogenesis",0.00104543489467276,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.98070300805412
"system development",0.00104543489467276,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.98070300805412
"neuron development",0.00104543489467276,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.98070300805412
"positive regulation of astrocyte differentiation",0.00115417400052737,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.93772871304128
"positive regulation of nervous system development",0.00115417400052737,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.93772871304128
"cell development",0.00150173244712994,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.8234074355645
"regulation of cell growth",0.00162523172773429,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.78908470797655
"regulation of gliogenesis",0.00162523172773429,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.78908470797655
"regulation of cell development",0.00184188933355198,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.73473646712046
"cell migration",0.00184188933355198,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.73473646712046
"regulation of neurogenesis",0.00184188933355198,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.73473646712046
"neuron differentiation",0.00184188933355198,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.73473646712046
"cell differentiation",0.00184188933355198,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.73473646712046
"cellular developmental process",0.00184188933355198,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.73473646712046
"multicellular organism development",0.00202979998419184,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.69254675521068
"regulation of cell migration",0.00202979998419184,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.69254675521068
"positive regulation of myelination",0.00202979998419184,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.69254675521068
"generation of neurons",0.00202979998419184,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.69254675521068
"plasma membrane bounded cell projection organization",0.00202979998419184,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.69254675521068
"negative regulation of cell growth",0.00212481232242826,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.67267942369993
"cell growth",0.00212481232242826,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.67267942369993
"cell projection organization",0.00212481232242826,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.67267942369993
"regulation of cell motility",0.00213010917280153,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.67159813743908
"positive regulation of cell development",0.00226268734073306,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.64537545292791
"cell morphogenesis",0.00244825855551932,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.611142719163
"regulation of locomotion",0.00244825855551932,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.611142719163
"regulation of nervous system development",0.00251792229124603,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.59895767732737
"cell motility",0.00261036813061906,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.58329824138873
"regulation of astrocyte differentiation",0.00293752345591415,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.53201865689607
"neurogenesis",0.00344184201686143,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.4632090679945
"negative regulation of growth",0.00345168816632481,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.46196844637561
"regulation of growth",0.0036536898545147,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.43726832074634
"mesenchymal cell differentiation",0.00405729583042337,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.39176332534066
"response to mechanical stimulus",0.00410270617212005,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.38692958525007
"locomotion",0.00415510142725717,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.38141837049348
"regulation of multicellular organismal process",0.00497989481876851,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.3027798299533
"positive regulation of nervous system process",0.00508579184017825,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.29364141932979
"glial cell differentiation",0.00551714144132174,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.25828588202048
"animal organ development",0.00575425292745307,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.24001105266762
"positive regulation of cellular process",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"regulation of myelination",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"mesenchyme development",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"cell adhesion",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"head development",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"rhombomere formation",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"rhombomere structural organization",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"rhombomere 3 structural organization",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"rhombomere 3 formation",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"rhombomere 5 morphogenesis",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"rhombomere 5 structural organization",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"rhombomere 5 formation",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"seminal vesicle epithelium development",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"negative regulation of hepatocyte differentiation",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"cellular response to vitamin E",0.00581563791824121,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.23540264049237
"anatomical structure development",0.00631267783084271,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.19978637443908
"regulation of multicellular organismal development",0.0068826498417218,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.16224432483481
"regulation of sodium ion transport",0.00700268571871401,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.15473536439756
"positive regulation of biological process",0.00736599490266238,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.13276858601686
"gliogenesis",0.00953263938574703,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.02078683577701
"nervous system development",0.00963278092661127,"EXvsHFD","majorSC","Overlap_MS","richR_GO",2.01624831653785
"astrocyte differentiation",0.0104969450800927,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.97893707501569
"neural crest cell differentiation",0.0104969450800927,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.97893707501569
"developmental process",0.0104969450800927,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.97893707501569
"regulation of axon extension",0.0104969450800927,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.97893707501569
"cellular response to mechanical stimulus",0.0104969450800927,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.97893707501569
"cellular response to external stimulus",0.010770307812198,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.96777188451736
"nerve development",0.010840749241094,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.96494070118988
"cell surface receptor signaling pathway",0.0113970160605272,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.94320883972304
"Wnt signaling pathway",0.0122447241358492,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.91205099474735
"central nervous system development",0.0122447241358492,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.91205099474735
"positive regulation of multicellular organismal process",0.0122447241358492,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.91205099474735
"growth",0.0122447241358492,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.91205099474735
"regulation of extent of cell growth",0.0122447241358492,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.91205099474735
"response to hydrogen peroxide",0.0123594599204711,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.908000506487
"axonogenesis",0.0137349923750179,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.86217157734197
"animal organ morphogenesis",0.0139485823625048,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.85546992883675
"axon extension",0.0139485823625048,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.85546992883675
"regulation of signal transduction",0.0139485823625048,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.85546992883675
"cellular component organization",0.0152186227219218,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.81762464923
"regulation of neuron projection development",0.0157480339288206,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.80277365820212
"axon development",0.0165485736971114,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.78123943162648
"negative regulation of multicellular organismal process",0.0167097274420623,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.77703063397098
"cellular component organization or biogenesis",0.0176990924235737,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.75204900287771
"tissue development",0.0179698254265272,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.74545614195971
"regulation of nervous system process",0.0187035152587341,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.72807676169897
"regulation of axonogenesis",0.0194819509016234,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.71036755549713
"regulation of cellular process",0.0207116249973498,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.68378582579528
"cellular response to glucose stimulus",0.0230161795189205,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.63796676374492
"cellular response to hexose stimulus",0.0230161795189205,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.63796676374492
"hindbrain development",0.0230161795189205,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.63796676374492
"myelination",0.0230161795189205,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.63796676374492
"cell morphogenesis involved in neuron differentiation",0.0230161795189205,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.63796676374492
"cellular response to monosaccharide stimulus",0.0230344972917328,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.63762126141472
"ensheathment of neurons",0.0233669115090454,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.63139868611947
"axon ensheathment",0.0233669115090454,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.63139868611947
"negative regulation of signal transduction",0.0233823864940862,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.63111116518789
"neuron projection extension",0.023698798608746,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.62527366963618
"cellular response to carbohydrate stimulus",0.0242858214401248,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.61464720242854
"regulation of biological process",0.0248615871445476,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.60447114978461
"intracellular glucose homeostasis",0.0248615871445476,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.60447114978461
"regulation of cell size",0.0248615871445476,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.60447114978461
"regulation of signaling",0.0254037788519103,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.59510167659007
"regulation of cell communication",0.0254037788519103,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.59510167659007
"response to reactive oxygen species",0.0254037788519103,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.59510167659007
"negative regulation of neuron apoptotic process",0.0256790805370104,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.59042053063635
"brain development",0.0258474729674116,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.58758191020855
"regulation of plasma membrane bounded cell projection organization",0.0258474729674116,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.58758191020855
"regulation of cell projection organization",0.0266016822719516,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.57509089801841
"cartilage development",0.0266016822719516,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.57509089801841
"negative regulation of signaling",0.0270304034724721,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.56814747170562
"negative regulation of cell communication",0.0270304034724721,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.56814747170562
"regulation of leukocyte migration",0.0277938455917585,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.55605135952939
"regulation of neuron differentiation",0.0278023896725139,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.5559178739746
"multicellular organismal process",0.0278023896725139,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.5559178739746
"biological regulation",0.0279608746426818,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.55344924757052
"response to glucose",0.0282132827552654,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.54954637858936
"response to endogenous stimulus",0.0282132827552654,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.54954637858936
"regulation of canonical Wnt signaling pathway",0.0282132827552654,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.54954637858936
"regulation of cell adhesion",0.0282132827552654,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.54954637858936
"response to hexose",0.0286630697398184,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.54267729964447
"axon guidance",0.0286749635760316,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.54249712508279
"neuron projection guidance",0.0286749635760316,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.54249712508279
"sodium ion transport",0.0287310769972595,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.5416480939802
"response to monosaccharide",0.0292058741700591,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.53452979022719
"response to external stimulus",0.0294373329795807,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.53110153960354
"protein processing",0.0294373329795807,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.53110153960354
"fat cell differentiation",0.0315939513982136,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.50039605427457
"developmental growth involved in morphogenesis",0.0319129512726445,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.49603303090031
"response to stress",0.0319129512726445,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.49603303090031
"developmental cell growth",0.0319129512726445,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.49603303090031
"response to carbohydrate",0.0321763892432482,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.49246269298141
"regulation of response to stimulus",0.0324508238675061,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.48877427277518
"stem cell differentiation",0.0331768538325022,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.47916480058916
"regulation of anatomical structure morphogenesis",0.0339477121859072,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.46918948849733
"negative regulation of cell development",0.0343841900743597,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.46364120108433
"canonical Wnt signaling pathway",0.0347455463681546,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.45910085471963
"sensory perception of mechanical stimulus",0.0347455463681546,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.45910085471963
"negative regulation of response to stimulus",0.0347455463681546,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.45910085471963
"response to insulin",0.0347455463681546,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.45910085471963
"cell-cell adhesion",0.0352391601885921,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.45297445014099
"negative regulation of cell adhesion",0.0357361242830726,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.44689255014449
"regulation of neuron apoptotic process",0.0368272463026084,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.43383075359397
"regulation of Wnt signaling pathway",0.0368771879808704,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.43324220288283
"glucose homeostasis",0.0374954507086669,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.42602142165827
"carbohydrate homeostasis",0.0374954507086669,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.42602142165827
"connective tissue development",0.0375950455807405,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.42486938429354
"sensory organ morphogenesis",0.0375950455807405,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.42486938429354
"embryonic organ morphogenesis",0.0380365454880044,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.41979893294449
"response to hormone",0.0393367775383761,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.40520122028407
"response to steroid hormone",0.0398694716950145,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.39935951907701
"negative regulation of developmental process",0.0433246769215307,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.36326466719961
"export from cell",0.0433631416249857,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.3628792610414
"neuron apoptotic process",0.0447049884079722,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.34964401339647
"regulation of developmental growth",0.0451250925442401,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.34558189441788
"cellular response to abiotic stimulus",0.0455281670859172,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.34171983355949
"cellular response to environmental stimulus",0.0455281670859172,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.34171983355949
"regulation of cellular component size",0.0455281670859172,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.34171983355949
"regulation of metal ion transport",0.0463584591342281,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.33387100757952
"leukocyte migration",0.0463584591342281,"EXvsHFD","majorSC","Overlap_MS","richR_GO",1.33387100757952
